name,mean,std,amin,amax
Pirate Chain,14409463.247619048,518392.7705058088,13287827,15426957
PlatonCoin,9177793.0,,9177793,9177793
PlayChip,10866131.923076924,624815.2421170148,9552780,11277217
PlayFuel,30354095.05235602,595867.05196233,28941103,31889029
Polkadot,3452461824.3631577,85911613.74490656,3330154244,3627196133
Polymath,21647272.72251309,887781.9387102865,20284254,23207368
Populous,11328795.661458334,549376.8533295386,10434046,12537962
Poseidon Network,194510109.46596858,1980153.5070886759,187485998,200548026
Power Ledger,32351007.578125,637593.2332317551,31333656,33827549
Precium,9292153.0,289504.82949857676,8963976,9511359
Project Pai,10907158.291666666,831161.1267346026,9976672,12660058
Prometeus,10690231.307291666,473117.99736725213,9198050,11259997
Props Token,9421767.611940298,170267.31166520255,9081720,9714707
Proton,11909556.588541666,439328.7174777844,11239838,12447580
ProximaX,9279209.764705881,118364.12447319683,9078441,9564114
Pundi X,35725652.765625,768951.0340759641,34131221,37158985
QASH,12743154.901041666,146892.56148608332,12345443,12938757
Qcash,69333717.80628273,189075.19697032913,69025915,70953994
Qtum,186743439.75789472,7525014.659282641,176792235,199482089
Quant,157993205.7631579,4666372.652649922,148915511,167994465
Quantstamp,16783018.900523562,494942.0058570791,15924996,17642368
Quantum Resistant Ledger,9994785.3125,325045.35910068883,9472711,10565321
Quark,9726691.411458334,145904.42925222116,9378555,10056777
QuarkChain,39288734.255208336,1111110.6303007465,37472239,40713205
QuickX Protocol,9457613.785714285,163960.5071193566,9080689,9738103
RChain,13318624.6875,226002.27746004274,13026610,13799805
REPO,12980082.560209423,714999.8378095411,11601505,14247323
RSK Infrastructure Framework,62829292.421875,1012177.6006881401,58941965,64608915
Rakon,9705819.494791666,276219.8131019073,9276250,10294377
Ravencoin,81571773.23157895,1852967.5194370714,79087996,87223751
ReddCoin,29657434.387434553,1196789.1037547467,28027202,31815092
Ren,228118954.28947368,8526221.019079749,209753158,243956122
Request,18182309.816753928,475142.7943203511,17540500,19474508
Reserve Rights,104427392.94210526,6984929.132911164,93793255,117185834
Revain,120424846.5263158,198682.3424789305,119993201,120910428
Ripio Credit Network,19465293.078534033,376495.7858189573,18369563,20458392
Rocket Pool,29378454.507853404,599072.3337519703,28556542,30771518
S4FE,36380965.22513089,1690865.3616366172,32215349,41956684
SOLVE,33024898.640625,865379.4057165622,31377385,34475887
STASIS EURO,36444295.494791664,120283.92038356214,36271105,36721102
STEM CELL COIN,25818803.205263156,1706733.860345052,16130548,28689371
STPAY,194821412.973822,30024230.187473964,156166262,225624942
SUKU,16683812.062827226,121625.02113803633,16338508,16742986
SUN,35947512.609375,2311265.1662471434,32546078,42340904
SaluS,15774889.795811519,398106.1995069524,15063175,16561907
Sapphire,9585460.595238095,425006.95946112194,8870039,11336683
Secret,17807580.0,3262630.417330495,14430795,27495302
Seele-N,12354874.915789474,1332484.1889307431,9331328,14564755
Sentivate,13346661.15625,822811.0635860821,12474101,17537909
Serum,46098716.625,2689205.7554280325,42194312,50270931
ShareToken,40556537.380208336,2877672.1411578143,36463626,48829500
Siacoin,109385084.0,2715600.6807301953,104037911,114365163
SingularityNET,31583268.786458332,940011.6740732131,30163890,34320627
Solana,68156578.78645833,2767818.8679132555,64814654,74593730
Sologenic,119955359.13612565,7162168.921574315,106008177,140151361
Sora,18962958.76963351,1527464.3862329603,16693195,23871595
Spectre.ai Dividend Token,9272301.535714285,84370.06841958886,9120403,9408283
Sport and Leisure,14961155.235602094,297676.13334451,14529926,15583284
Stakenet,13655693.5,1267807.136016342,12501885,17634093
Standard Tokenization Protocol,12912596.411458334,322070.1387402898,12345728,13444699
Status,69339534.47916667,2761473.8026542184,64546146,74089203
Steem,53953678.125,1359544.6789408245,51532679,56531507
Stellar,1586226130.2210526,32396291.233630963,1538283959,1654328233
Storj,59666617.609375,3398004.016311377,55189730,65483373
StormX,14168778.481865285,278506.7949930354,13576801,15418934
Stratis,37013753.90625,922176.6123962987,34918116,38794714
Streamr,24438083.390625,716367.2133786036,23627551,25951375
Strong,83385888.79057592,10025368.45276087,70891989,105260428
Super Zero Protocol,28269523.208333332,993975.8985753178,25843066,29715394
SushiSwap,81030886.86842105,5487843.471082163,73297384,88983676
Swipe,61309034.901041664,3520775.9651351427,55373574,67385585
SwissBorg,63717324.333333336,1825891.5165508275,60832811,69237620
Switcheo,22230463.671875,265838.49395886203,21349100,22774532
SynchroBitcoin,15045344.4,594809.0119252846,11080997,15881536
Synthetix Network Token,277788974.06842107,15461357.735040162,260956796,311899429
Syscoin,23205858.619791668,686750.0998846579,21998295,25289759
THETA,593275871.1421052,16564717.412989443,566507884,636942424
THORChain,60809466.682291664,2552557.916405204,57052706,65246663
TNC Coin,240966370.91623038,1598586.1196674712,234831192,243270826
TRON,1756735549.2473683,53550172.70898407,1663195400,1854374504
TROY,23485768.837696336,722089.5079595884,21763356,24624588
Tachyon Protocol,10118861.536458334,452766.2048254027,9209337,10688343
Tap,44581286.33507854,1836776.262125663,39200373,47237563
Telcoin,9477931.38235294,101412.23751040323,9133250,9621453
Tellor,28839049.515625,2171833.7729286705,26097201,32829415
Terra,111785047.92631578,2914806.2640325674,106736293,116513883
TerraKRW,90848225.09424084,1114648.3060262818,86690260,91509353
Tether,16687782766.747368,14894369.423038617,16660020074,16709239577
Tezos,1431537429.3210526,42223715.86072284,1362780076,1543064266
The Midas Touch Gold,115899212.9,8435600.698312275,105310855,136025965
The Sandbox,20410216.209424082,1103117.601950908,18258581,21947289
The Transfer Token,28842527.2460733,1837761.7913118093,23153805,30646979
Theta Fuel,44247165.96875,967487.8094680049,42250775,46009135
ThoreCoin,229444919.68062827,2237175.7606525132,224565895,233974704
ThoreNext,21413678.764397904,2005645.5164506962,13148689,23253351
Thunder Token,25872023.53125,731316.8003183134,24710276,27092971
TitanSwap,28295942.162303664,1350740.8865575253,26268122,31251985
Tixl,11176420.359375,193734.97079325438,10745562,11548087
TomoChain,39903099.005208336,1876577.6642125365,36753553,43083781
Tratin,51537750.03664921,11049381.957478575,44661538,74706706
Travala.com,31977527.1875,4870409.425288477,24452408,41179051
TrueChain,13809357.5,640672.1901453612,12544110,14687957
TrueUSD,253648555.94210526,1832917.274217149,250788456,258367456
Trust Wallet Token,16926665.486910995,751533.7051789145,15571901,18450205
