name,mean,std,amin,amax
Time New Bank,6381444.734375,93874.56050578394,6156899.0,6591662.0
TitanSwap,52883142.208333336,2435771.56738661,48982373.0,58461850.0
TomoChain,39883410.223958336,1847336.7224300278,36711600.0,42956851.0
Travala.com,28865544.572916668,3865378.6353893415,22619611.0,35027669.0
Troy,4873240.392670157,135964.5100404327,4547951.0,5136551.0
TrueUSD,253607244.60416666,1986403.503890471,250343983.0,258314705.0
Trustswap,11913737.9375,816496.112826273,10791561.0,13344917.0
UMA,372966698.28125,10240191.922699887,355381523.0,396327533.0
USD Coin,2939051552.9375,8165090.770865407,2921102044.0,2965319325.0
USDK,32449668.25,67530.37808477013,32295230.0,32750046.0
UTRUST,41524513.8125,2281477.2798135593,38068558.0,48899072.0
Ubiq,6001011.973958333,219773.40923581968,5702983.0,6466013.0
Ultiledger,24107809.822916668,201071.62453452178,23699942.0,24558108.0
Ultra,41185793.901041664,628819.5851081945,39851862.0,42586227.0
Unibright,45744961.036458336,1160841.417805913,43396796.0,49012166.0
Uniswap,475865778.7708333,21552299.75211323,442439301.0,516899717.0
Unitrade,6805829.234375,181096.6736050931,6267490.0,7656997.0
Universa,5828470.338541667,288196.6170286699,5107613.0,7144192.0
Uquid Coin,69085412.5,761412.3314287375,66789240.0,70257282.0
V.SYSTEMS,31161217.8125,1257292.8472022864,29361938.0,32787334.0
VIDT Datalink,16050468.041666666,661079.5695514198,14987843.0,17247173.0
Value Liquidity,6667336.787234043,170265.42229093338,6328661.0,6896685.0
VeChain,649622829.484375,21538043.784033395,598529567.0,689789836.0
VeThor Token,19357982.411458332,944057.7078073281,17625962.0,21172551.0
Velas,55161542.510416664,468480.4118952436,52879533.0,56013130.0
Venus,9104904.8125,678874.8067832693,7969288.0,10267934.0
Verge,66029235.864583336,2094191.4673757395,62534517.0,71600864.0
Vertcoin,11589222.572916666,576856.9946114748,10657381.0,16098985.0
Verus Coin,21312430.572916668,517769.12593285606,19828678.0,22115849.0
Vid,4707779.0,,4707779.0,4707779.0
VideoCoin,6924591.947916667,75068.1899595871,6770817.0,7117687.0
Vitae,132002287.5,7382864.294199818,110901754.0,143650874.0
Vite,8776543.994791666,201707.40743602134,8369884.0,9263324.0
Voyager Token,32830066.942708332,820928.2057722622,31258523.0,34302237.0
WAX,45570772.171875,1624641.8428066482,43209923.0,48011418.0
WHALE,21057022.682291668,1184421.3411956292,19289737.0,23027559.0
WINk,29088841.052083332,1325515.3488685358,27430773.0,33957645.0
WOM Protocol,19902837.17948718,702280.765911012,17063207.0,21166677.0
Wagerr,6164322.588541667,274805.9059521473,5494415.0,7220094.0
Waltonchain,7582043.286458333,240376.03621663552,7072900.0,7998264.0
Wanchain,29130459.875,1419938.6918053147,27328031.0,31767418.0
Waves,315634206.1197917,4762800.038353335,306400430.0,326422286.0
WaykiChain,30877286.265625,1054282.37467565,28987649.0,32570513.0
WazirX,17289868.296875,834002.4181214633,16038653.0,19070546.0
Wing Finance,5345682.026041667,287342.7687467923,4890020.0,5971485.0
Wings,4939454.012269938,40365.80112874359,4756750.0,5033585.0
Wirex,20108111.505208332,241382.8508290429,19577731.0,20587588.0
Wrapped Bitcoin,1602994814.1927083,19119466.104900878,1564632919.0,1659324384.0
