name,mean,std,amin,amax
Level01,300504.6510416667,19735.379113193238,271662,342032
Levolution,209898.83333333334,34689.76234199083,122179,259609
LinkEye,6285350.875,22763.078966325647,6249560,6326963
LiquidApps,1968.8412698412699,579.8549931733268,1014,3035
Lisk,2511637.6210526316,120275.50933437761,2265711,2696109
Litecoin,2690523525.957895,322184631.50851804,1993121003,3188212716
Livepeer,290150.9947643979,208018.78458696176,1989,704540
Loki,79749.25130890052,9507.389124680343,38928,107758
Loom Network,2005863.109947644,218891.1737902345,1750299,2444381
Loopring,29570035.515789475,15772732.556797672,13082686,50772851
MATH,2825170.827225131,647944.6688756902,986977,3454017
MCO,20231062.92746114,2946174.447037073,4534653,24371238
MINDOL,23274.75392670157,2628.8596561552745,17614,28336
MVL,1062673.8489583333,337304.5057025149,617457,1572485
MX Token,1536526.6335078534,418592.7094460696,409444,2280320
MXC,6342172.078534031,2264085.2225952116,2812119,9317422
MaidSafeCoin,213821.66145833334,32764.476437684403,150764,328879
Mainframe,943086.3979057592,241818.25736081175,476626,1671127
Maker,35333940.05789474,4414942.935549265,29455636,42655101
Massnet,1206519.2460732984,319418.0595823686,586915,1511267
Matic Network,6837210.307291667,864003.9783207835,5415892,8379422
MediBloc,100096.97395833333,68572.8493570667,38,191885
Melon,2264990.0208333335,420737.04058699764,1402619,2892079
Meta,2293802.0512820515,41074.213699075066,2225051,2432387
Metacoin,139772.24607329842,24311.035176755533,12329,157675
Metadium,82778.1552795031,25007.71083874907,887,122928
Metal,4820686.685863874,2568802.868187591,1152402,8674291
Metaverse Dualchain Network Architecture,683067.2303664922,130839.82619430976,437842,871650
Metaverse ETP,190771.88020833334,51719.51406400671,43659,243387
MiL.k,1236686.2447916667,344448.0146879475,695188,1808387
MimbleWimbleCoin,558620.5811518325,90118.85843410212,352410,682027
Mixin,686666.8691099477,258186.29342827274,114775,1098779
Mobilian Coin,2072742.8795811518,286603.9546872837,1774483,3585441
Moeda Loyalty Points,263218.375,75907.18429370117,137501,425061
Molecular Future,2882870.345549738,897646.2768943562,1543208,5164437
