name,mean,std,amin,amax
#MetaHash,0.0032226895833333343,9.853527594248198e-05,0.00250702,0.00339089
0chain,0.1735297708333333,0.006134396727814697,0.163641,0.18282400000000001
0x,0.3335112604166666,0.009133844669983713,0.318831,0.352559
ARPA Chain,0.014092470156250007,0.0006295919750510401,0.01323509,0.01517248
AXEL,0.16687363020833326,0.005291770093873385,0.14191600000000001,0.177467
Aave,29.753229166666653,1.6292200908028842,27.64,32.87
Aave DAI,1.0080544531249993,0.005556509635340718,0.988583,1.02
Aave ETH,411.91999999999865,0.0,411.92,411.92
Aave LINK,10.816250000000016,0.5062442553484441,10.14,11.62
Aave MKR,547.0708333333332,6.895297652033958,537.99,553.59
Aave SNX,2.908333333333332,0.008164965809277287,2.87,2.91
Aave TUSD,0.9982094791666681,0.001901900146459544,0.992664,1.0
Aave USDC,0.9987270156250002,0.0008570480353125246,0.996877,1.0
Aave USDT,0.9982217499999999,0.0010487546341297394,0.9976290000000001,1.0
Aave WBTC,13796.08666666667,21.873682154920235,13761.62,13809.82
Aave [OLD],0.2985806302083334,0.015641045228719005,0.277034,0.330058
Aavegotchi,0.5542061458333333,0.0046811689639099634,0.543521,0.562811
Achain,0.005836332142857142,0.00022135966933248128,0.00534975,0.00624831
AdEx,0.21552427604166668,0.006338888922895346,0.202227,0.227008
Aergo,0.04187281281250002,0.0007044403787073033,0.04071152,0.04379672
Aeternity,0.09150728125000006,0.002397896111889797,0.087146,0.095455
Aion,0.060757432291666684,0.0020129781707237653,0.057432000000000004,0.064709
AirSwap,0.10845398958333335,0.0037848971034442395,0.09999,0.11618099999999999
Akash Network,0.4190171805555555,0.015778213286561885,0.380244,0.438734
Akropolis,0.009604040364583328,0.000813688520024239,0.00831541,0.01108917
Alchemy Pay,0.0069790277604166685,0.0002652763075578033,0.00649087,0.00754445
Aleph.im,0.09452772395833331,0.003991644067042667,0.086784,0.101748
Algorand,0.24305679687500004,0.01037285755614091,0.22776100000000002,0.26064499999999996
Alpha Finance,0.02830966744680852,0.0008982437767478088,0.02636439,0.02995548
Ampleforth,1.128541666666667,0.04815940300430663,1.03,1.23
Ankr,0.006862510677083335,0.000302757162114425,0.00635089,0.00736281
Apollo,0.0010597172916666671,2.1965201177853707e-05,0.00101982,0.00112432
Aragon,2.9525000000000023,0.09191960976682761,2.79,3.11
Aragon Court,0.03615315,,0.03615315,0.03615315
Arcblock,0.06684396875,0.0027925160977309393,0.063842,0.07230299999999999
Ardor,0.04822760098958334,0.001974868829643094,0.04564315,0.06004299999999999
Ark,0.27956917708333356,0.006322607096130346,0.267729,0.292599
Arweave,1.9841666666666684,0.203115352502805,1.7,2.32
Atari,0.15626797297297293,0.06550094598879114,0.051205999999999995,0.25266700000000003
Audius,0.09115609895833336,0.007561681685420387,0.078747,0.10250999999999999
Augur,12.661614583333323,0.3018026077207596,12.25,13.56
Aurora,0.0016925815625,3.235413039422845e-05,0.00161856,0.00176007
Avalanche,3.5577604166666634,0.1673998407920623,3.26,3.84
B2BX,0.7258726458333348,0.05525923345999244,0.597801,0.750656
BEAM,0.22733933333333342,0.007226061613581837,0.216164,0.24079299999999998
BEAT,0.0037297899999999985,0.0,0.00372979,0.00372979
BOSAGORA,0.078740390625,0.0014948901581163414,0.074691,0.081936
BOScoin,0.04301802573170734,0.00733328339020098,0.02669593,0.056412000000000004
BTSE Token,2.293906250000003,0.036031567929172274,2.21,2.46
BTU Protocol,0.2990153854166668,0.006062335048321785,0.28375,0.30754699999999996
Balancer,9.197604166666656,0.4078721306443623,8.7,10.07
Bancor Network Token,0.5890866197916668,0.020108786886543,0.561225,0.6394449999999999
Band Protocol,4.22171875,0.18495694719786582,3.95,4.61
Bankroll Network,0.3602189427083335,0.025287703332950995,0.306859,0.42108900000000005
BarnBridge,56.61731182795701,15.107904474133235,43.93,127.86
Based Money,0.743203010416667,0.053750811328491375,0.6233350000000001,0.911638
Basic Attention Token,0.18371185937499993,0.004022466029586648,0.175859,0.19226300000000002
Bella Protocol,0.767091739583333,0.03043094541314983,0.7141609999999999,0.807021
Beowulf,0.013682291145833329,0.0020663211315058417,0.0097677,0.01593106
Bibox Token,0.0518687480729167,0.0015372521960701278,0.0494914,0.054842999999999996
Binance Coin,27.618281249999995,0.9170643260294873,25.89,29.19
Binance USD,0.9994740624999999,0.000817769925176712,0.9926729999999999,1.0
Bit-Z Token,0.1077044531250001,0.00218218266925106,0.103815,0.110947
BitKan,0.0020738078124999996,3.948136077433161e-05,0.00201601,0.00219372
BitShares,0.016040141770833332,0.0009579303791811296,0.01425228,0.01743357
BitTorrent,0.0002865758333333332,8.792951087701862e-06,0.00027242,0.00030263
Bitcoin,13582.296770833333,131.73485164208378,13270.27,13856.25
Bitcoin 2,0.4057742291666664,0.01980602041687047,0.353975,0.43595200000000006
Bitcoin Cash,252.75062499999999,10.45544050992316,238.15,270.5
Bitcoin Diamond,0.44565423958333344,0.020961124568541285,0.39108000000000004,0.47121599999999997
Bitcoin Gold,6.955781250000012,0.09349196601539587,6.8,7.15
Bitcoin Rhodium,4.6899999999999995,0.05318431562567483,4.59,4.72
Bitcoin SV,156.97619791666668,5.564642927763131,146.74,166.4
Bitmax Token,0.04425761213541666,0.0008614652893197443,0.04301034,0.04604398
Blocknet,1.0571345156249994,0.15173803356128895,0.910444,1.62
Blockstack,0.15094886458333334,0.005188500045776422,0.14167000000000002,0.160058
Bloody Token,0.100882,,0.100882,0.100882
Bluzelle,0.05666973437499997,0.0027397061823712467,0.052476,0.060552999999999996
