,ath,atl,market_rank,max_supply,name,roi,total_supply
88,3.96,0.163678,290,No Data,c20,-83.97%,40656082 C20
89,5.69,0.002865,1202,No Data,canyacoin,-99.77%,95826983 CAN
90,1.33,0.017354,11,45000000000 ADA,cardano,328.69%,45000000000 ADA
91,0.079546,0.00081,507,No Data,carry,-65.93%,7329872058 CRE
92,0.003446,0.000114,454,No Data,casinocoin,-38.29%,39999619701 CSC
93,0.030469,0.001014,392,10000000000 CELR,celer-network,-88.18%,10000000000 CELR
94,1.01,0.330333,380,1000000000000000 CUSD,celo-dollar,-1.01%,15430981 CUSD
95,4.73,0.795534,59,1000000000 CELO,celo,87.82%,1000000000 CELO
96,1.46,0.022345,39,No Data,celsius,540.31%,695658161 CEL
97,0.541558,0.011004,249,No Data,centrality,-88.59%,1200000000 CENNZ
98,1.94,0,363,No Data,certik,> 9000%,100000000 CTK
99,19.85,0.126297,6,No Data,chainlink,6470.09%,1000000000 LINK
100,19.73,0.544636,343,21000000 PCX,chainx,-67.62%,7435650 PCX
101,0.022039,0.004001,134,No Data,chiliz,-56.49%,8888888888 CHZ
102,1.19,0.005204,286,No Data,chimpion,5889.47%,100000000000 BNANA
103,0.128535,0.008369,496,1000000000 CHR,chromia,-79.51%,486391731 CHR
104,0.347056,0.002262,371,No Data,cindicator,-60.92%,2000000005 CND
105,61.3,4.29,212,2000000000 CIPHC,cipher-core-token,16.93%,200000000 CIPHC
106,1.66,0.010813,362,No Data,civic,-84.81%,1000000000 CVC
107,0.002425,0.000194,471,100000000000 COCOS,cocos-bcx,-88.69%,100000000000 COCOS
108,0.096376,0.015168,466,330000000 XCM,coinmetro-token,12.72%,330000000 XCM
109,381.89,61.25,38,No Data,compound,-15.56%,10000000 COMP
110,0.038461,0.000897,420,No Data,constellation,-68.29%,3711998690 DAG
111,0.035189,0.001845,417,No Data,content-value-network,-31.18%,1000000000 CVNT
112,0.085274,0.004264,425,No Data,contentos,-87.77%,13500000000 COS
113,2.37,0.308407,301,100000000 CTCN,contracoin,-19.68%,100000000 CTCN
114,0.095834,0.001588,321,No Data,conun,-85.65%,5000000000 CON
115,2.41,0.034133,338,299792458 CTXC,cortex,-90.91%,299792458 CTXC
116,8.86,1.13,23,No Data,cosmos,-31.48%,263045080 ATOM
117,0.127076,0.006226,365,2000000000 COTI,coti,-68.49%,2000000000 COTI
118,20.48,2.03,237,21000000 CCA,counos-coin,2.79%,16986060 CCA
119,59.34,14.86,203,21000000 CCXX,counos-x,189.18%,18402730 CCXX
120,3.29,0.041749,509,No Data,covesting,-79.62%,20000000 COV
121,0.685723,0.125204,211,2000000000 CTC,creditcoin,4861.06%,667470477 CTC
122,3,0.065518,335,No Data,crpt,-71.51%,88960392 CRPT
123,22.01,0.000445,1106,No Data,cryptaldash,-88.53%,1000000000 CRD
124,0.201749,0.011487,17,No Data,crypto-com-coin,297.40%,100000000000 CRO
125,27.1,0.64173,319,No Data,crypto-com,-41.69%,31587682 MCO
126,1.44,0.081856,427,No Data,crypto-village-accelerator,-15.60%,100000000 CVA
127,0.09382,0.000615,353,10000000000 CBUCKS,cryptobucks,-56.63%,8534139361 CBUCKS
128,1,0.133025,295,No Data,cryptoindex-com-100,-53.11%,300000000 CIX100
129,10,0.21781,227,210000000 CNX,cryptonex,-31.41%,107135054 CNX
130,60.5,0.331598,145,No Data,curve-dao-token,-97.23%,1361098365 CRV
131,8057.36,2977.01,274,No Data,cvault-finance,33.50%,10000 CORE
132,0.037647,0.000393,498,No Data,cwv-chain,-57.81%,10000000000 CWV
133,0.16221,0.002944,85,No Data,cybervein,66.02%,2147483648 CVT
134,0.640672,0.097052,306,No Data,dad,-56.10%,1000000000 DAD
135,1.83,0.09328,248,460000000 DMCH,darma-cash,80.76%,210269852 DMCH
136,0.238817,0.003566,480,10000000000 RING,darwinia-network,637.41%,1590567953 RING
137,1642.22,0.213899,29,18900000 DASH,dash,> 9000%,9796327 DASH
138,0.018726,0.000435,384,No Data,davinci-coin,-58.04%,8800000000 DAC
139,0.288857,0.007883,90,No Data,decentraland,139.46%,2195251498 MANA
140,99.74,0.394796,68,21000000 DCR,decred,1197.10%,12206391 DCR
141,0.364281,0.164213,233,1200000000 DFI,defichain,21.98%,667388826 DFI
142,0.111397,0.00007,391,No Data,dent,-72.92%,100000000000 DENT
143,96.54,0.00142,365,88000000 DEV,deviantcoin,-47.96%,30281996 DEV
144,5.17,0.791555,180,200000000 DIA,dia,7.32%,200000000 DIA
145,0.142889,0.00002,50,21000000000 DGB,digibyte,1161.09%,13711699665 DGB
146,0.160608,0.004417,174,No Data,digitex-futures,224.08%,1000000000 DGTX
147,597.66,4.1,464,No Data,digixdao,131.11%,145951 DGD
148,0.401413,0.01502,482,No Data,dimension-chain,-86.59%,2000000000 EON
149,0.013609,0.000034,461,No Data,dinastycoin,1870.18%,1983948759 DCY
150,0.083597,0.001028,111,No Data,divi,477.42%,1978740263 DIVI
151,0.722188,0.126241,219,10000000000 DRS,doctors-coin,2281.50%,10000000000 DRS
152,0.018773,0.000085,43,No Data,dogecoin,347.94%,126948933049 DOGE
153,2.4,0.006236,633,No Data,dragon-coins,-99.28%,442695970 DRG
154,5.27,0.020523,398,433494437 DRGN,dragonchain,-34.45%,433494437 DRGN
155,0.005878,0.000689,446,10000000000 DREP,drep,-7.33%,10000000000 DREP
156,0.614791,0.011059,436,No Data,dusk-network,-77.34%,500000000 DUSK
157,0.002976,0.000122,102,No Data,dxchain-token,108.10%,100000000000 DX
158,0.238834,0.004496,323,No Data,dynamic-trading-rights,-34.95%,2000000000 DTR
159,0.257566,0.013944,435,No Data,ecoreal-estate,-12.64%,1000000000 ECOREAL
160,994.17,0.001315,219,No Data,edc-blockchain-v1,-99.99%,5330754415 EDC
161,2.88,0.000025,491,No Data,einsteinium,1601.08%,220755508 EMC2
162,0.397568,0.002849,467,10000000000 ELAMA,elamachain,45.60%,1000000000 ELAMA
163,93.96,0.839188,191,No Data,elastos,-88.17%,23084774 ELA
164,0.236234,0.001428,137,21000000000 ETN,electroneum,-56.76%,10205734094 ETN
165,1.74,0.409608,334,No Data,elitium,5.73%,332200000 EUM
166,20.43,6.8,82,No Data,elrond-egld,-58.42%,20202272 EGLD
167,9.9,0.244958,128,No Data,energi,462.82%,34495973 NRG
168,13.7,0.500661,62,100000000 EWT,energy-web-token,470.94%,48638535 EWT
169,8.3,0.070056,452,No Data,enigma,-24.91%,90638967 ENG
170,0.493384,0.01562,87,No Data,enjin-coin,379.27%,1000000000 ENJ
171,22.89,0.480196,13,No Data,eos,127.00%,1024164415 EOS
172,5.93,0.012952,340,No Data,erc20,-68.28%,12999999994 ERC20
173,6.78,0.093979,335,97739924 ERG,ergo,-83.23%,26463750 ERG
174,47.77,0.452446,32,210700000 ETC,ethereum-classic,"<span class=""cmc--change-positive"">539.08%</span>",116313299 ETC
175,1432.88,0.420897,2,No Data,ethereum,> 9000%,113281165 ETH
176,0.141822,0,381,1000000000 DIP,etherisc,43.98%,1000000000 DIP
177,0.07653,0.000624,336,No Data,everipedia,-60.99%,10014452864 IQ
178,6.32,0.001059,231,No Data,everus,481.48%,1000000000 EVR
179,1.26,0.003172,293,No Data,extstock-token,464.79%,1000000000 XT
180,0.054305,0.003529,288,No Data,fabrk,3.48%,55000000000 FAB
181,87.16,0.070891,515,No Data,factom,327.63%,9441295 FCT
182,0.056356,0.001935,166,3175000000 FTM,fantom,4.07%,2138153791 FTM
183,0.432695,0.00827,182,1152997575 FET,fetch,-56.08%,1151441226 FET
184,131.86,1.83,25,2000000000 FIL,filecoin,148.54%,27204091 FIL
185,2.85,0.016391,484,No Data,firstblood,-25.33%,93468691 1ST
186,0.307385,0.131997,319,No Data,flamingo,-79.96%,150000000 FLM
187,0.02671,0.00019,163,100000000000 FXC,flexacoin,360.48%,7273713838 FXC
188,0.368307,0.000948,314,No Data,fnb-protocol,-88.00%,2490000160 FNB
189,50.59,0.060115,417,No Data,folgory-coin,-30.79%,100000000 FLG
190,4.51,0.83129,41,No Data,ftx-token,241.68%,345219294 FTT
191,0.858698,0.03259,409,1893022625 FX,function-x,-89.12%,378604525 FX
192,0.337854,0.001051,310,No Data,funfair,-81.48%,10999873621 FUN
193,9.38,0.077527,453,No Data,fusion,-92.03%,64949953 FSN
194,97.49,0.599114,445,100000000 GAS,gas,-35.77%,17190378 GAS
195,0.925205,0.266693,171,No Data,gatetoken,-55.16%,300000000 GT
196,1.23,0.85212,378,No Data,gemini-dollar,-3.78%,15536805 GUSD
197,6.24,0.062697,349,No Data,gleec,67.81%,20916258 GLEEC
198,0.006605,0.000178,455,No Data,global-digital-content,-77.11%,4765815836 GDC
199,461.17,7.05,128,No Data,gnosis-gno,-9.82%,10000000 GNO
200,1.25,0.008797,104,No Data,golem-network-tokens,389.37%,1000000000 GNT
201,1.68,0.001373,259,No Data,greenpower,-91.96%,3294166501 GRN
202,10,0.222321,421,No Data,grin,-97.73%,56643600 GRIN
203,2.69,0.00006,424,105000000 GRS,groestlcoin,3799.65%,76234189 GRS
204,9.99,0.191197,196,100000000 GXC,gxchain,-94.49%,99712602 GXC
205,0.476902,0.075519,173,2040000000 HNS,handshake,-6.93%,319283208 HNS
206,0.030689,0.001257,190,12600000000 ONE,harmony,29.33%,12600000000 ONE
207,2236.04,71.96,280,690420 FARM,harvest-finance,-95.10%,690420 FARM
208,0.00063,0.00001,313,No Data,hashgard,-63.89%,100000000000 GARD
209,7.29,0.07652,305,No Data,haven-protocol,-63.49%,13834208 XHV
210,0.416009,0.010012,66,No Data,hedera-hashgraph,-76.25%,50000000000 HBAR
211,3.04,0.05664,60,No Data,hedgetrade,297.49%,1000000000 HEDG
212,4.03,0.253391,146,No Data,helium,166.38%,58370364 HNT
213,0.980676,0.00006,271,No Data,helleniccoin,60.16%,69868865 HNC
214,0.026853,8.00E-08,232,No Data,helper-search-token,> 9000%,10000000000 HSN
215,0.014763,0.000015,201,No Data,hex,5715.84%,397266968517 HEX
216,0.987244,0.086943,142,No Data,hive-blockchain,-61.55%,414053512 HIVE
217,0.002538,0.000219,98,No Data,holo,-38.49%,177619433541 HOT
218,0.904093,0.324853,209,10000000000 HMR,homeros,106.69%,10000000000 HMR
219,67.29,3.09,121,21000000 ZEN,horizen,-48.88%,10298188 ZEN
220,0.018703,0.002485,355,No Data,huobi-pool-token,29.69%,9792833765 HPT
221,6.1,0.889694,26,No Data,huobi-token,139.56%,500000000 HT
222,1.09,0.895969,46,No Data,husd,0.29%,279256095 HUSD
223,0.266542,0.008749,144,No Data,hxro,214.15%,1000000000 HXRO
224,43.17,0.567814,147,84000000 HC,hypercash,-80.82%,44863064 HC
225,1.08,0.024859,154,No Data,hyperion,1938.17%,10000000000 HYN
226,12.64,0.106937,64,No Data,icon,-23.11%,800460000 ICX
227,22.16,0.398946,225,55000000 ICH,idea-chain-coin,> 9000%,55000000 ICH
228,0.16444,0.008559,298,No Data,idex,30.56%,1000000000 IDEX
229,2.62,0.011237,375,999449694 IGNIS,ignis,-98.64%,999449694 IGNIS
230,1.22,0.655675,489,No Data,injective-protocol,79.41%,100000000 INJ
231,3.07,0.144225,205,No Data,ino-coin,1419.05%,1000000000 INO
232,2.74,0.100907,207,No Data,insight-chain,113.08%,10000000000 INB
233,0.201703,0.004542,481,300000000 INSTAR,insights-network,-64.81%,282004817 INSTAR
234,0.177607,0.012417,367,No Data,invictus-hyperion-fund,169.77%,119941689 IHF
235,0.136496,0.001562,107,No Data,iostoken,-81.34%,22176575243 IOST
236,5.69,0.07962,28,2779530283 MIOTA,iota,> 9000%,2779530283 MIOTA
237,0.088037,0.001239,104,10000000000 IOTX,iotex,-76.75%,9729984442 IOTX
238,1.99,0.102802,490,No Data,iqeon,703.36%,5491860 IQN
239,0.19464,0.008254,157,No Data,irisnet,-67.74%,2004469186 IRIS
240,0.550251,0.000402,202,No Data,ize,962.39%,10000000000 IZE
241,3.3,0.033246,474,No Data,jewel,-7.07%,300000000 JWL
242,0.057913,0.026312,252,No Data,joule,41.03%,200000000000 JUL
243,0.092028,0.004766,141,9900000000 JST,just,820.87%,9900000000 JST
244,89.04,14.73,763,1000000 JUL,justliquidity,255.79%,1000000 JUL
245,0.126064,0.001534,370,No Data,karatgold-coin,-60.43%,12000000000 KBC
246,0.047778,0.000401,320,5000000000 KAI,kardiachain,1467.15%,5000000000 KAI
247,0.012768,0.00001,241,No Data,karma-eos,1327.19%,8462823687 KARMA
248,5.52,0.299967,136,No Data,kava,192.91%,106274714 KAVA
249,0.318003,0.002173,347,No Data,kcash,-86.68%,1000000000 KCASH
250,2.51,0.229206,273,1000000000 KEEP,keep-network,-62.57%,1000000000 KEEP
251,383.85,36.74,173,No Data,keep3rv1,317.87%,200001 KP3R
252,0.001493,0.000002,160,10000000000000 KIN,kin,-75.62%,10000000000000 KIN
253,0.307277,0.095856,441,1000000000 KDAG,king-dag,130.13%,1000000000 KDAG
254,0.197945,0.003805,186,No Data,kleros,603.35%,764626704 PNK
255,10,0.002143,129,200000000 KMD,komodo,257.13%,122612920 KMD
256,21.14,0.323177,107,No Data,kucoin-shares,20.08%,170728394 KCS
257,60.04,0.914346,55,No Data,kusama,1568.06%,9651217 KSM
258,6,0.113539,69,No Data,kyber-network,94.48%,210378851 KNC
259,0.274357,0.006601,470,10000000000 LAMB,lambda,82.91%,6000000000 LAMB
260,24.09,0.495318,217,200000000 LRG,largo-coin,4805.46%,45865513 LRG
261,2,0.018778,429,1000000000 LA,latoken,-84.85%,400000000 LA
262,0.811044,0.020079,410,1200000000 LVX,level01,-34.15%,1200000000 LVX
263,0.554909,0.030279,435,No Data,levolution,-49.95%,311000000 LEVL
264,2.5,0.005108,474,1083202000 LBC,library-credit,-96.81%,694866005 LBC
265,0.173417,0.001008,523,No Data,linkeye,-93.92%,1000000000 LET
266,0.093018,0.002375,496,20000000000 DAPP,liquid-apps,186.61%,1046205980 DAPP
267,39.31,0.095652,73,No Data,lisk,1197.29%,142320638 LSK
